period,ratio,keyword,age
2025-05-01,0.34239,봄동비빔밥,40대
2025-06-01,0.20489,봄동비빔밥,40대
2025-07-01,0.14129,봄동비빔밥,40대
2025-08-01,0.18703,봄동비빔밥,40대
2025-09-01,0.2214,봄동비빔밥,40대
2025-10-01,0.66098,봄동비빔밥,40대
2025-11-01,1.72715,봄동비빔밥,40대
2025-12-01,2.16266,봄동비빔밥,40대
2026-01-01,4.95356,봄동비빔밥,40대
2026-02-01,30.86688,봄동비빔밥,40대
2026-03-01,100.0,봄동비빔밥,40대
2026-04-01,4.32506,봄동비빔밥,40대
2025-05-01,0.08794,우베,50대 이상
2025-06-01,0.09737,우베,50대 이상
2025-07-01,0.1771,우베,50대 이상
2025-08-01,0.10824,우베,50대 이상
2025-09-01,0.10148,우베,50대 이상
2025-10-01,0.08239,우베,50대 이상
2025-11-01,0.08674,우베,50대 이상
2025-12-01,0.11235,우베,50대 이상
2026-01-01,0.23147,우베,50대 이상
2026-02-01,0.1643,우베,50대 이상
2026-03-01,1.20472,우베,50대 이상
2026-04-01,4.44388,우베,50대 이상
2025-05-01,0.7193,샌드베이글,50대 이상
2025-06-01,0.7884,샌드베이글,50대 이상
2025-07-01,0.73428,샌드베이글,50대 이상
2025-08-01,0.82416,샌드베이글,50대 이상
2025-09-01,0.74926,샌드베이글,50대 이상
2025-10-01,0.57288,샌드베이글,50대 이상
2025-11-01,0.61734,샌드베이글,50대 이상
2025-12-01,0.53615,샌드베이글,50대 이상
2026-01-01,0.63932,샌드베이글,50대 이상
2026-02-01,0.48976,샌드베이글,50대 이상
2026-03-01,0.73283,샌드베이글,50대 이상
2026-04-01,0.61661,샌드베이글,50대 이상
2025-05-01,4.22836,창억떡,50대 이상
2025-06-01,3.36988,창억떡,50대 이상
2025-07-01,2.84194,창억떡,50대 이상
2025-08-01,3.07486,창억떡,50대 이상
2025-09-01,5.49324,창억떡,50대 이상
2025-10-01,3.91811,창억떡,50대 이상
2025-11-01,3.65354,창억떡,50대 이상
2025-12-01,3.8896,창억떡,50대 이상
2026-01-01,4.99139,창억떡,50대 이상
2026-02-01,5.56524,창억떡,50대 이상
2026-03-01,17.00839,창억떡,50대 이상
2026-04-01,15.58259,창억떡,50대 이상
2025-05-01,0.00072,버터떡,50대 이상
2025-09-01,0.00314,버터떡,50대 이상
2025-10-01,0.00024,버터떡,50대 이상
2025-11-01,0.00024,버터떡,50대 이상
2025-12-01,0.00048,버터떡,50대 이상
2026-01-01,0.00386,버터떡,50대 이상
2026-02-01,0.04204,버터떡,50대 이상
2026-03-01,30.29632,버터떡,50대 이상
2026-04-01,9.7013,버터떡,50대 이상
2025-05-01,1.75754,두바이쫀득쿠키,50대 이상
2025-06-01,1.39608,두바이쫀득쿠키,50대 이상
2025-07-01,1.40381,두바이쫀득쿠키,50대 이상
2025-08-01,1.74377,두바이쫀득쿠키,50대 이상
2025-09-01,2.11103,두바이쫀득쿠키,50대 이상
2025-10-01,3.06205,두바이쫀득쿠키,50대 이상
2025-11-01,6.4201,두바이쫀득쿠키,50대 이상
2025-12-01,30.22045,두바이쫀득쿠키,50대 이상
2026-01-01,100.0,두바이쫀득쿠키,50대 이상
2026-02-01,20.84726,두바이쫀득쿠키,50대 이상
2026-03-01,4.48471,두바이쫀득쿠키,50대 이상
2026-04-01,1.30958,두바이쫀득쿠키,50대 이상
2025-05-01,0.24725,저당,50대 이상
2025-06-01,0.2828,저당,50대 이상
2025-07-01,0.33163,저당,50대 이상
2025-08-01,0.29413,저당,50대 이상
2025-09-01,0.29061,저당,50대 이상
2025-10-01,0.24452,저당,50대 이상
2025-11-01,0.23944,저당,50대 이상
2025-12-01,0.23554,저당,50대 이상
2026-01-01,0.20312,저당,50대 이상
2026-02-01,0.1996,저당,50대 이상
2026-03-01,0.17421,저당,50대 이상
2026-04-01,0.18202,저당,50대 이상
2025-05-01,0.32889,봄동비빔밥,50대 이상
2025-06-01,0.17773,봄동비빔밥,50대 이상
2025-07-01,0.1371,봄동비빔밥,50대 이상
2025-08-01,0.18476,봄동비빔밥,50대 이상
2025-09-01,0.31132,봄동비빔밥,50대 이상
2025-10-01,0.81052,봄동비빔밥,50대 이상
2025-11-01,2.07534,봄동비빔밥,50대 이상
2025-12-01,2.96399,봄동비빔밥,50대 이상
2026-01-01,6.84398,봄동비빔밥,50대 이상
2026-02-01,34.86441,봄동비빔밥,50대 이상
2026-03-01,100.0,봄동비빔밥,50대 이상
2026-04-01,4.04756,봄동비빔밥,50대 이상
